"An 0"	"An 30"	"An 60"	"An 120"	"O2 0"	"O2 1"	"O2 5"	"O2 10"	"O2 15"	"O2 30"	"O2 45"	"O2 60"	"O2 120"
"Ornithine"	0	0.0608616116145003	0.142892678544196	0.0846245543154935	0	0.311524441879199	0.127945457448112	0.210703309430119	0.139500414985353	0.133378795969106	0.121958196323942	0.124660469545284	0.170958957311063
"Phenylalanine"	0	0.0828084907718383	0.106506717904732	0.155481261850101	0	0.262751526057487	0.104811400585556	0.140400204711607	0.19977569063387	0.219024186692276	0.17131795954957	0.184346445431516	0.14799329542786
"phenylpyruvate"	0	0.338674647761504	0.218540395485487	0.109724554538417	0	0.484909169198981	0.180580978310026	0.407600451329694	0.216915669918154	0.175959456712777	0.177018913192137	0.192431683919044	0.197082651310718
"Phosphoenolpuruvate"	0	0.311534155705482	0.259359266555263	0.394587551240203	0	0.390910409666612	0.23624648049003	0.202013222150488	0.26161718625449	0.176615157999904	0.173559876871322	0.218965576787832	0.200568143274748
"pyruvate"	0	0.239992165693432	0.164488145109435	0.083810384542237	0	0.148969653387648	0.136354631125978	0.177665325637315	0.0991701549846177	0.120717353253641	0.102663460663777	0.13578918993395	0.140302389257476
"Ribose 5-phosphate"	0	0.184252367272259	0.0945680170763435	0.15377736234606	0	0.151189609463454	0.468444777613078	0.34102379525167	0.551358504667943	0.538306446642984	0.554645450965127	0.512326693853983	0.446409963535219
"Ribulose 5-phosphate"	0	0.221675834310611	0.0887499292876795	0.173351255638202	0	1.30652154005505	0.6130276899055	0.798763304822031	0.6812209361113	0.632560217297906	0.633251019772563	0.652536539841838	0.457524436851421
"Sedheptulose 7-phosphate"	0	0.316248539022284	0.223666468963509	NA	0	0.629092062526076	0.435365914290473	0.222897199904215	0.493557489182055	0.573444172601598	0.485402770470271	0.482825835417848	0.426144747251358
"Serine"	0	0.365372673626424	0.208688813876383	0.167493796730104	0	0.350199741551054	0.152610419257413	0.140420556764318	0.128134472497932	0.142621657709274	0.168586804030556	0.145307557145693	0.110849439752816
"Shikimate"	0	0.301082982367059	0.271770319794785	0.179203162723378	0	0.366439840939935	0.201888841280405	0.337897240364129	0.283272670607716	0.267122625901933	0.189217754953098	0.355859257680451	0.259410825970708
"Shikimate 3-phosphate"	0	0.142688931902946	0.108823041493925	0.252429808865941	0	0.0886191748954774	0.177878307681624	0.288977683026497	0.207412612544758	0.146775651601323	0.17786263231143	0.195114383040931	0.301649631038844
