2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C13-label-12	215111.44	120904.71	225996.38	218068	181682.7	214368.38	221241.11	237786.36	243158.58	193787.42	209630.67	192885.36	253430.55	244106.27	234166	251069.45	226010.42	239197.98	168415.86	258287.23	282995.12	260843.05	277680.41	191740.98	232856.36	270566.75	263544.34	289935.5	253130.33	202934.72	214032.12	268465.56	247765.14	234595.58	227804
C13-label-13	151176.12	74246.38	158019.67	151569.3	102917.59	152726.05	158227.56	169384.08	183767.67	134322.05	161939.41	103156.23	192381.45	172027.67	167189.19	178717.44	191406.42	183911.77	131292.8	158567.52	174651.7	186473.39	181533.69	137503.44	150692.38	180727.06	136598.69	192596.42	173143.75	148653.86	149806.48	165341.31	187538.33	185729	172786.45
C13-label-14	155715.42	72574.23	142986.73	168092.3	125743.81	132724.58	131540.86	177160.81	137235.58	173852.5	150092.08	119829.4	203867.5	153744.58	169479.02	158015.05	175669.88	173964.17	134705.48	179720.83	151902.83	193342.67	186422.05	135905.58	166219.38	169541.48	153982.67	173642.64	155899.02	149222.69	180895.42	178388.94	190642.58	181756.38	169882.59
C13-label-15	12011.18	5499.51	15931.36	22721.55	7489.45	0	15637.72	7536.66	37394.48	9351.52	9625.2	11276.65	26604.04	16395.56	25143.19	22983.46	43951.16	9240.04	11850.81	16925.28	23568.12	8944.19	20106.47	19426.88	13291.13	25116.23	17378.85	17010.08	9713.2	7474.28	14308.02	25505.55	17344.9	0	24079.6
C13-label-16	4711.64	0	5112.45	7854.26	0	0	6468.91	0	17983.28	8595.53	0	0	13844.2	0	0	0	7221.83	0	8772.62	17118.63	8261.5	7529.34	8935.66	5079.16	5423.95	5331.36	25028.03	6387.29	6848.04	0	11085.59	0	7339.11	5703.51	0
C13-label-17	6193.02	0	11193.69	0	6198.96	13761.21	3737.52	5084.61	6513.76	6967.49	6734.15	12402.26	9822.06	9611.41	11712.31	8566.94	16659.2	4478.66	0	5971.21	6342.41	12948.75	14362.52	13253.54	13989.42	7404.86	16002.52	14729.59	6121.89	8123.22	9201.66	7178.76	14686.78	15033.78	12562.33
C13-label-18	39982.22	9030.66	23959.62	22072.79	8186.15	38559.93	18186.05	25401.19	28067.32	31437.11	57808.17	32200.54	39842.12	29443.92	26505.77	36773.03	18075.42	27206.63	34772.27	32876.31	35199.96	29144.13	34062.48	35821.54	60805.32	45223.68	28524.51	38137.88	57132.35	22555.58	51635.09	19330.98	36967.87	28666.27	28538.57
C13-label-19	96349.6	64492.08	90374.82	107164.66	111302.19	130801.99	96563.75	110768.9	129985.62	94175.5	113411.9	72056.3	127080.71	139145.48	127108.51	106844.73	122226.41	114269.23	100700.71	104379.24	123187.62	127869	131947.45	110354.41	116194.55	115940.59	140745.16	128393.53	149678.14	98706.35	101224.35	124903.13	121396.71	122237.12	113376.73
C13-label-20	278697.81	181720.31	251892.88	261962.5	238973.38	266724.03	293722.41	321601.06	326636.41	308638.47	303890.59	181259.19	324961.88	306332.31	297744.03	315592.34	346081.31	347239.5	254868.02	294631.5	306986.41	317001.91	345920.38	271657.59	273894.09	311587	316208.84	346605.97	311966.16	258963.23	275339.53	340063.28	306016.44	372824.47	302302
C13-label-21	793885.94	502491.09	739512	787671.69	710101.81	748246.69	808804.75	924153.5	895089.25	803518.94	817406.69	705155.25	911049.19	884387.75	894721.25	1011555.19	879906.31	950908.31	741295.5	891960.44	875703.19	926950.69	998734.31	724606.06	826923.31	774470.31	938378.81	1055030	921084.69	687013.25	840190.19	965756.25	904281.31	881248.75	912292.25
