Aconitate	O2_0_A	O2_5_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	O2_0_D	O2_5_D	O2_15_D	O2_30_D	O2_45_D	O2_60_D	O2_120_D	An_0_A	An_60_A	An_120_A	An_0_B	An_60_B	An_120_B	An_0_C	An_60_C	An_120_C
C12 PARENT	297809.44	240529.95	261471.17	327365.72	409056.91	356661.34	736991.31	350370	229065.62	132898.3	258080.89	370831.66	353281.41	957779	205535.86	254819.05	257082.58	380396.84	126885.91	524054.59	917126.19	302553.12	267892.97	300556.91	382711.53	541548.5	468896.5	1123613.12	295940.88	297655.59	911590.19	198538.7	631209.75	553455.62	92828.81	615565.38	945603.5
C13-label-1	20081.79	9853.4	12260.1	21019.52	26891.71	20715.49	46663.73	23458	7280.75	6515.31	14468.54	36159.47	15061.77	53629.62	18242.24	7095.69	10864.88	12325.43	7762.44	50114.84	50241.39	18712.52	13575.4	19252.1	18091.82	36324.91	36513.82	71312.52	15488.15	14436.84	64419.78	11202.77	34524.78	23232.37	0	37111.79	43418.98
C13-label-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4248.11	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-4	0	0	0	0	0	3556.54	0	0	0	0	0	4109.18	0	0	0	0	0	0	6185.46	0	5321.29	0	3839.6	4344.59	3665.75	0	0	0	0	4976.81	0	0	0	5128.09	0	0	0
C13-label-5	78530.21	83647.85	72382.88	90765.46	90111.38	70526.87	80768.05	91853.54	67016.71	87547.73	55941.69	68604.43	88022.35	69126.82	62027.31	72322.77	77332.25	50013.29	84528.65	69035.8	45944.8	73066.6	63304.73	79753.41	84160.94	94733.41	97884.6	51347.31	91913.54	75483.94	68911.78	95130.51	88426.88	64876.28	101117.91	80694.87	68364.55
C13-label-6	303642.97	294394.53	301509.19	322253.59	261431.95	329098.22	297897.25	259337.75	317768.22	272511.38	314916.47	320526.97	350333.16	248658.56	309610.72	274134.34	290296.78	289590.16	283374.22	312624.06	324701.03	269981.47	340039.72	314925.72	303498.16	334569.44	354978.38	289454.28	309261.59	336433.72	318908.72	353845.12	286057.28	361817.38	357584.59	312486.5	288033.34
																																					
ADP	O2_0_A	O2_5_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	O2_0_D	O2_5_D	O2_15_D	O2_30_D	O2_45_D	O2_60_D	O2_120_D	An_0_A	An_60_A	An_120_A	An_0_B	An_60_B	An_120_B	An_0_C	An_60_C	An_120_C
C12 PARENT	3413370	1870489.38	1130610.12	2087975.38	4311363.5	3895266.25	7069204.5	4780076	3763854	487865.47	815888.19	4765863.5	660787.94	2131760.75	2176967.5	3777970	6165866.5	2969519.75	2267812.25	2712459.75	1982056.38	1441162.62	894096.44	4947768.5	4319677	1199693.62	1481557	7507115.5	4783331	1431304.5	17052566	3108288.75	2617035.25	8903457	3122144	5706066.5	13876303
