2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C13-label-1	43791.79	48036.19	8596.55	99373.54	44113.37	39149.35	18442.94	0	277306.56	24109.71	5547.32	88350.37	0	0	10868.18	114885.18	104361.75	36706.46	5486.26	18709.19	18635.55	0	107048.41	114396.45	189080.23	372704.59	301367.88	851112.56	89047.63	262664.25	308223.12	97264.84
C13-label-2	0	5916.82	0	10571.86	4832.69	6750.29	0	0	61408.43	0	6582.73	15115	0	0	0	11997.16	8483.44	0	0	0	7516.36	0	16402.89	29379.92	24738.55	93854.29	52009.14	200522.55	25526.74	75941.49	93130.21	19540.9
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6537.43	17206.41	0	0	0	0
C13-label-5	0	0	0	0	0	0	0	0	3879.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-8	0	0	0	0	0	0	0	0	6298.44	0	0	0	0	0	0	0	6117.42	0	7048.06	0	0	0	0	5108.12	0	0	0	24808.38	6842.14	0	5228.43	0
C13-label-9	6167.23	7788.1	13305.66	49287.62	0	38440.75	37181.79	0	171585.84	47679.41	9918.23	45565.31	34361.57	27119.18	23497.85	52802.2	126211.79	45373.09	29851.45	42885.69	19365.23	37597.22	72436.87	60986	59691.86	94291.4	104261.91	350095.78	104388.71	70025.96	99453.34	71205.68
C13-label-10	109458.19	125516.74	135627.3	244900.39	259743.05	228086.25	242865.92	182032.83	911728.25	256449.95	197962.98	282358.28	213625.89	216892.8	251313.67	346515.78	674582.06	302599.34	200481.44	239720.44	272901.97	272830.84	360782.75	381321.59	366622.34	577049.5	573149.06	2058902.62	748926.5	561398	574563.94	450346.38
																																
Alanine	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	48392.44	38639.86	23291.53	52220.65	82409.51	104670.94	109477.49	75789.49	71564.29	81495.88	49024.22	95060.28	76800.38	45535.42	106549.52	72256.45	28266.67	67637.79	41581.01	41889.88	78152.66	71691.37	91623.76	62951.8	47132.95	95574.65	117827.97	294467.28	76831.27	66336.35	45954.11	251829.25
C13-label-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13083.36	0	13066.61	0	6500.77	0	0	0	0	0	0	0	0
C13-label-3	688399	634999.56	680550.69	520075.84	522994.34	628324.69	679326.19	594663.06	734962.75	671715.69	553446.69	640904.94	660609.31	584604.56	686034.88	589001.38	548893.81	520647.5	641022.5	572916.19	596194.94	662781.94	710989.81	540458.5	563422.69	774016.69	779782	424102.53	712658.31	646360.25	580542.44	687756.69
																																
alpha-ketoglutarate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	734470.69	1225422.5	954681.75	1172606.12	1165205.25	1411242.38	1656130.88	2157904.75	826612.75	1286828.62	1154319	1158148.5	1346173.62	1613180.38	1564303.38	2664911.75	1468825.12	1699936.88	954790.81	1171634.12	1252450.5	1312762.62	1525430.38	2270756.75	1036340.75	762993.5	910097.75	996022.81	796557.06	928517.56	1155219.88	1126468
C13-label-1	31248.88	67449.31	44150.12	75923.16	58517.89	85301.21	76241.96	108068.59	48003.76	69248.12	39262.15	84526.18	42769.88	73812.83	82036.34	136008.95	68719.52	93398.95	47606.67	65077	66763.22	72002.11	78138.84	133173.75	64020.66	47566.1	67299.37	44705.3	27396.35	46169.36	44085.84	47521.72
